mID,Date,RoomNumber,cID,ClassName,StartHour,EndHour,MeetingDurationMinutes,Year,Month
50,2020-09-11 07:00:00,769,8,C16,7,8,41,2020,09
51,2020-09-11 08:00:00,779,19,C16,8,9,41,2020,09
52,2020-09-11 09:00:00,687,52,C16,9,10,41,2020,09
53,2020-09-11 10:00:00,687,18,C16,10,11,41,2020,09
54,2020-09-11 11:00:00,779,4,C16,11,12,41,2020,09
55,2020-09-11 12:00:00,843,14,C16,12,13,41,2020,09
56,2020-09-11 13:00:00,256,16,C16,13,14,41,2020,09
57,2020-09-11 10:00:00,781,3,C15,10,11,41,2020,09
58,2020-09-11 11:00:00,348,15,C15,11,12,41,2020,09
59,2020-09-11 13:00:00,478,2,C15,13,14,41,2020,09
60,2020-09-11 14:00:00,687,53,C15,14,15,41,2020,09
61,2020-09-11 07:00:00,843,54,C14,7,8,41,2020,09
62,2020-09-11 11:00:00,478,11,C14,11,12,41,2020,09
63,2020-09-11 15:00:00,781,10,C14,15,16,41,2020,09
64,2020-09-14 07:00:00,361,9,A18,7,8,41,2020,09
65,2020-09-14 08:00:00,687,17,A18,8,9,41,2020,09
66,2020-09-14 09:00:00,687,5,A18,9,10,41,2020,09
67,2020-09-14 10:00:00,781,38,A18,10,11,41,2020,09
68,2020-09-14 07:00:00,256,1,A17,7,8,41,2020,09
69,2020-09-14 08:00:00,769,39,A17,8,9,41,2020,09
70,2020-09-14 07:00:00,687,3,A15,7,8,41,2020,09
71,2020-09-14 08:00:00,947,2,A15,8,9,41,2020,09
72,2020-09-14 09:00:00,769,15,A15,9,10,41,2020,09
73,2020-09-14 10:00:00,478,41,A15,10,11,41,2020,09
74,2020-09-14 07:00:00,947,10,A14,7,8,41,2020,09
75,2020-09-14 08:00:00,361,11,A14,8,9,41,2020,09
76,2020-09-14 09:00:00,256,42,A14,9,10,41,2020,09
77,2020-09-14 07:00:00,478,45,B17,7,8,41,2020,09
78,2020-09-14 08:00:00,348,1,B17,8,9,41,2020,09
79,2020-09-14 07:00:00,769,48,B14,7,8,41,2020,09
80,2020-09-14 09:00:00,843,11,B14,9,10,41,2020,09
81,2020-09-14 10:00:00,947,10,B14,10,11,41,2020,09
82,2020-09-14 07:00:00,348,8,C16,7,8,41,2020,09
83,2020-09-14 08:00:00,781,19,C16,8,9,41,2020,09
84,2020-09-14 09:00:00,779,52,C16,9,10,41,2020,09
85,2020-09-14 10:00:00,361,18,C16,10,11,41,2020,09
86,2020-09-14 11:00:00,779,4,C16,11,12,41,2020,09
87,2020-09-14 12:00:00,947,14,C16,12,13,41,2020,09
88,2020-09-14 13:00:00,769,16,C16,13,14,41,2020,09
89,2020-09-14 10:00:00,843,3,C15,10,11,41,2020,09
90,2020-09-14 11:00:00,781,15,C15,11,12,41,2020,09
91,2020-09-14 13:00:00,478,2,C15,13,14,41,2020,09
92,2020-09-14 14:00:00,947,53,C15,14,15,41,2020,09
93,2020-09-14 07:00:00,843,54,C14,7,8,41,2020,09
94,2020-09-14 11:00:00,256,11,C14,11,12,41,2020,09
95,2020-09-14 15:00:00,478,10,C14,15,16,41,2020,09
96,2020-09-15 07:00:00,256,9,A18,7,8,41,2020,09
97,2020-09-15 08:00:00,781,17,A18,8,9,41,2020,09
98,2020-09-15 09:00:00,348,5,A18,9,10,41,2020,09
99,2020-09-15 10:00:00,348,38,A18,10,11,41,2020,09
100,2020-09-15 07:00:00,348,1,A17,7,8,41,2020,09
101,2020-09-15 08:00:00,348,39,A17,8,9,41,2020,09
102,2020-09-15 07:00:00,947,3,A15,7,8,41,2020,09
103,2020-09-15 08:00:00,843,2,A15,8,9,41,2020,09
104,2020-09-15 09:00:00,361,15,A15,9,10,41,2020,09
105,2020-09-15 10:00:00,781,41,A15,10,11,41,2020,09
106,2020-09-15 07:00:00,781,10,A14,7,8,41,2020,09
107,2020-09-15 08:00:00,769,11,A14,8,9,41,2020,09
108,2020-09-15 09:00:00,781,42,A14,9,10,41,2020,09
109,2020-09-15 07:00:00,361,45,B17,7,8,41,2020,09
110,2020-09-15 08:00:00,947,1,B17,8,9,41,2020,09
111,2020-09-15 07:00:00,478,48,B14,7,8,41,2020,09
112,2020-09-15 09:00:00,843,11,B14,9,10,41,2020,09
113,2020-09-15 10:00:00,843,10,B14,10,11,41,2020,09
114,2020-09-15 07:00:00,687,8,C16,7,8,41,2020,09
115,2020-09-15 08:00:00,687,19,C16,8,9,41,2020,09
116,2020-09-15 09:00:00,779,52,C16,9,10,41,2020,09
117,2020-09-15 10:00:00,256,18,C16,10,11,41,2020,09
118,2020-09-15 11:00:00,478,4,C16,11,12,41,2020,09
119,2020-09-15 12:00:00,781,14,C16,12,13,41,2020,09
120,2020-09-15 13:00:00,256,16,C16,13,14,41,2020,09
121,2020-09-15 10:00:00,478,3,C15,10,11,41,2020,09
122,2020-09-15 11:00:00,843,15,C15,11,12,41,2020,09
123,2020-09-15 13:00:00,781,2,C15,13,14,41,2020,09
124,2020-09-15 14:00:00,348,53,C15,14,15,41,2020,09
125,2020-09-15 07:00:00,843,54,C14,7,8,41,2020,09
126,2020-09-15 11:00:00,256,11,C14,11,12,41,2020,09
127,2020-09-15 15:00:00,781,10,C14,15,16,41,2020,09
128,2020-09-16 07:00:00,781,9,A18,7,8,41,2020,09
129,2020-09-16 08:00:00,843,17,A18,8,9,41,2020,09
130,2020-09-16 09:00:00,781,5,A18,9,10,41,2020,09
131,2020-09-16 10:00:00,843,38,A18,10,11,41,2020,09
132,2020-09-16 07:00:00,348,1,A17,7,8,41,2020,09
133,2020-09-16 08:00:00,779,39,A17,8,9,41,2020,09
134,2020-09-16 07:00:00,361,3,A15,7,8,41,2020,09
135,2020-09-16 08:00:00,478,2,A15,8,9,41,2020,09
136,2020-09-16 09:00:00,256,15,A15,9,10,41,2020,09
137,2020-09-16 10:00:00,781,41,A15,10,11,41,2020,09
138,2020-09-16 07:00:00,779,10,A14,7,8,41,2020,09
139,2020-09-16 08:00:00,256,11,A14,8,9,41,2020,09
140,2020-09-16 09:00:00,947,42,A14,9,10,41,2020,09
141,2020-09-16 07:00:00,843,45,B17,7,8,41,2020,09
142,2020-09-16 08:00:00,348,1,B17,8,9,41,2020,09
143,2020-09-16 07:00:00,947,48,B14,7,8,41,2020,09
144,2020-09-16 09:00:00,769,11,B14,9,10,41,2020,09
145,2020-09-16 10:00:00,256,10,B14,10,11,41,2020,09
146,2020-09-16 07:00:00,687,8,C16,7,8,41,2020,09
147,2020-09-16 08:00:00,361,19,C16,8,9,41,2020,09
148,2020-09-16 09:00:00,348,52,C16,9,10,41,2020,09
149,2020-09-16 10:00:00,769,18,C16,10,11,41,2020,09
150,2020-09-16 11:00:00,256,4,C16,11,12,41,2020,09
151,2020-09-16 12:00:00,687,14,C16,12,13,41,2020,09
152,2020-09-16 13:00:00,478,16,C16,13,14,41,2020,09
153,2020-09-16 10:00:00,947,3,C15,10,11,41,2020,09
154,2020-09-16 11:00:00,361,15,C15,11,12,41,2020,09
155,2020-09-16 13:00:00,947,2,C15,13,14,41,2020,09
156,2020-09-16 14:00:00,361,53,C15,14,15,41,2020,09
157,2020-09-16 07:00:00,769,54,C14,7,8,41,2020,09
158,2020-09-16 11:00:00,478,11,C14,11,12,41,2020,09
159,2020-09-16 15:00:00,779,10,C14,15,16,41,2020,09
160,2020-09-17 07:00:00,256,9,A18,7,8,41,2020,09
161,2020-09-17 08:00:00,769,17,A18,8,9,41,2020,09
162,2020-09-17 09:00:00,348,5,A18,9,10,41,2020,09
163,2020-09-17 10:00:00,779,38,A18,10,11,41,2020,09
164,2020-09-17 07:00:00,843,1,A17,7,8,41,2020,09
165,2020-09-17 08:00:00,361,39,A17,8,9,41,2020,09
166,2020-09-17 07:00:00,348,3,A15,7,8,41,2020,09
167,2020-09-17 08:00:00,779,2,A15,8,9,41,2020,09
168,2020-09-17 09:00:00,947,15,A15,9,10,41,2020,09
169,2020-09-17 10:00:00,256,41,A15,10,11,41,2020,09
170,2020-09-17 07:00:00,769,10,A14,7,8,41,2020,09
171,2020-09-17 08:00:00,843,11,A14,8,9,41,2020,09
172,2020-09-17 09:00:00,478,42,A14,9,10,41,2020,09
173,2020-09-17 07:00:00,781,45,B17,7,8,41,2020,09
174,2020-09-17 08:00:00,947,1,B17,8,9,41,2020,09
175,2020-09-17 07:00:00,361,48,B14,7,8,41,2020,09
176,2020-09-17 09:00:00,781,11,B14,9,10,41,2020,09
177,2020-09-17 10:00:00,361,10,B14,10,11,41,2020,09
178,2020-09-17 07:00:00,478,8,C16,7,8,41,2020,09
179,2020-09-17 08:00:00,348,19,C16,8,9,41,2020,09
180,2020-09-17 09:00:00,361,52,C16,9,10,41,2020,09
181,2020-09-17 10:00:00,781,18,C16,10,11,41,2020,09
182,2020-09-17 11:00:00,687,4,C16,11,12,41,2020,09
183,2020-09-17 12:00:00,478,14,C16,12,13,41,2020,09
184,2020-09-17 13:00:00,781,16,C16,13,14,41,2020,09
185,2020-09-17 10:00:00,947,3,C15,10,11,41,2020,09
186,2020-09-17 11:00:00,779,15,C15,11,12,41,2020,09
187,2020-09-17 13:00:00,348,2,C15,13,14,41,2020,09
188,2020-09-17 14:00:00,947,53,C15,14,15,41,2020,09
189,2020-09-17 07:00:00,947,54,C14,7,8,41,2020,09
190,2020-09-17 11:00:00,947,11,C14,11,12,41,2020,09
191,2020-09-17 15:00:00,947,10,C14,15,16,41,2020,09
192,2020-09-18 07:00:00,256,9,A18,7,8,41,2020,09
193,2020-09-18 08:00:00,843,17,A18,8,9,41,2020,09
194,2020-09-18 09:00:00,843,5,A18,9,10,41,2020,09
195,2020-09-18 10:00:00,843,38,A18,10,11,41,2020,09
196,2020-09-18 07:00:00,781,1,A17,7,8,41,2020,09
197,2020-09-18 08:00:00,256,39,A17,8,9,41,2020,09
198,2020-09-18 07:00:00,843,3,A15,7,8,41,2020,09
199,2020-09-18 08:00:00,769,2,A15,8,9,41,2020,09
200,2020-09-18 09:00:00,769,15,A15,9,10,41,2020,09
201,2020-09-18 10:00:00,348,41,A15,10,11,41,2020,09
202,2020-09-18 07:00:00,687,10,A14,7,8,41,2020,09
203,2020-09-18 08:00:00,687,11,A14,8,9,41,2020,09
204,2020-09-18 09:00:00,348,42,A14,9,10,41,2020,09
205,2020-09-18 07:00:00,947,45,B17,7,8,41,2020,09
206,2020-09-18 08:00:00,781,1,B17,8,9,41,2020,09
207,2020-09-18 07:00:00,769,48,B14,7,8,41,2020,09
208,2020-09-18 09:00:00,478,11,B14,9,10,41,2020,09
209,2020-09-18 10:00:00,769,10,B14,10,11,41,2020,09
210,2020-09-18 07:00:00,478,8,C16,7,8,41,2020,09
211,2020-09-18 08:00:00,779,19,C16,8,9,41,2020,09
212,2020-09-18 09:00:00,687,52,C16,9,10,41,2020,09
213,2020-09-18 10:00:00,478,18,C16,10,11,41,2020,09
214,2020-09-18 11:00:00,348,4,C16,11,12,41,2020,09
215,2020-09-18 12:00:00,843,14,C16,12,13,41,2020,09
216,2020-09-18 13:00:00,947,16,C16,13,14,41,2020,09
217,2020-09-18 10:00:00,947,3,C15,10,11,41,2020,09
218,2020-09-18 11:00:00,779,15,C15,11,12,41,2020,09
219,2020-09-18 13:00:00,478,2,C15,13,14,41,2020,09
220,2020-09-18 14:00:00,361,53,C15,14,15,41,2020,09
221,2020-09-18 07:00:00,779,54,C14,7,8,41,2020,09
222,2020-09-18 11:00:00,687,11,C14,11,12,41,2020,09
223,2020-09-18 15:00:00,256,10,C14,15,16,41,2020,09
224,2020-09-21 07:00:00,478,9,A18,7,8,41,2020,09
225,2020-09-21 08:00:00,779,17,A18,8,9,41,2020,09
226,2020-09-21 09:00:00,478,5,A18,9,10,41,2020,09
227,2020-09-21 10:00:00,769,38,A18,10,11,41,2020,09
228,2020-09-21 07:00:00,769,1,A17,7,8,41,2020,09
229,2020-09-21 08:00:00,478,39,A17,8,9,41,2020,09
230,2020-09-21 07:00:00,687,3,A15,7,8,41,2020,09
231,2020-09-21 08:00:00,947,2,A15,8,9,41,2020,09
232,2020-09-21 09:00:00,687,15,A15,9,10,41,2020,09
233,2020-09-21 10:00:00,947,41,A15,10,11,41,2020,09
234,2020-09-21 07:00:00,348,10,A14,7,8,41,2020,09
235,2020-09-21 08:00:00,348,11,A14,8,9,41,2020,09
236,2020-09-21 09:00:00,781,42,A14,9,10,41,2020,09
237,2020-09-21 07:00:00,256,45,B17,7,8,41,2020,09
238,2020-09-21 08:00:00,769,1,B17,8,9,41,2020,09
239,2020-09-21 07:00:00,843,48,B14,7,8,41,2020,09
240,2020-09-21 09:00:00,361,11,B14,9,10,41,2020,09
241,2020-09-21 10:00:00,256,10,B14,10,11,41,2020,09
242,2020-09-21 07:00:00,781,8,C16,7,8,41,2020,09
243,2020-09-21 08:00:00,687,19,C16,8,9,41,2020,09
244,2020-09-21 09:00:00,348,52,C16,9,10,41,2020,09
245,2020-09-21 10:00:00,781,18,C16,10,11,41,2020,09
246,2020-09-21 11:00:00,348,4,C16,11,12,41,2020,09
247,2020-09-21 12:00:00,687,14,C16,12,13,41,2020,09
248,2020-09-21 13:00:00,348,16,C16,13,14,41,2020,09
249,2020-09-21 10:00:00,361,3,C15,10,11,41,2020,09
250,2020-09-21 11:00:00,843,15,C15,11,12,41,2020,09
251,2020-09-21 13:00:00,779,2,C15,13,14,41,2020,09
252,2020-09-21 14:00:00,348,53,C15,14,15,41,2020,09
253,2020-09-21 07:00:00,779,54,C14,7,8,41,2020,09
254,2020-09-21 11:00:00,687,11,C14,11,12,41,2020,09
255,2020-09-21 15:00:00,478,10,C14,15,16,41,2020,09
256,2020-09-22 07:00:00,478,9,A18,7,8,41,2020,09
257,2020-09-22 08:00:00,769,17,A18,8,9,41,2020,09
258,2020-09-22 09:00:00,361,5,A18,9,10,41,2020,09
259,2020-09-22 10:00:00,781,38,A18,10,11,41,2020,09
260,2020-09-22 07:00:00,779,1,A17,7,8,41,2020,09
261,2020-09-22 08:00:00,256,39,A17,8,9,41,2020,09
262,2020-09-22 07:00:00,781,3,A15,7,8,41,2020,09
263,2020-09-22 08:00:00,779,2,A15,8,9,41,2020,09
264,2020-09-22 09:00:00,769,15,A15,9,10,41,2020,09
265,2020-09-22 10:00:00,779,41,A15,10,11,41,2020,09
266,2020-09-22 07:00:00,361,10,A14,7,8,41,2020,09
267,2020-09-22 08:00:00,348,11,A14,8,9,41,2020,09
268,2020-09-22 09:00:00,781,42,A14,9,10,41,2020,09
269,2020-09-22 07:00:00,843,45,B17,7,8,41,2020,09
270,2020-09-22 08:00:00,843,1,B17,8,9,41,2020,09
271,2020-09-22 07:00:00,348,48,B14,7,8,41,2020,09
272,2020-09-22 09:00:00,256,11,B14,9,10,41,2020,09
273,2020-09-22 10:00:00,256,10,B14,10,11,41,2020,09
274,2020-09-22 07:00:00,256,8,C16,7,8,41,2020,09
275,2020-09-22 08:00:00,781,19,C16,8,9,41,2020,09
276,2020-09-22 09:00:00,348,52,C16,9,10,41,2020,09
277,2020-09-22 10:00:00,348,18,C16,10,11,41,2020,09
278,2020-09-22 11:00:00,769,4,C16,11,12,41,2020,09
279,2020-09-22 12:00:00,947,14,C16,12,13,41,2020,09
280,2020-09-22 13:00:00,256,16,C16,13,14,41,2020,09
281,2020-09-22 10:00:00,361,3,C15,10,11,41,2020,09
282,2020-09-22 11:00:00,348,15,C15,11,12,41,2020,09
283,2020-09-22 13:00:00,779,2,C15,13,14,41,2020,09
284,2020-09-22 14:00:00,361,53,C15,14,15,41,2020,09
285,2020-09-22 07:00:00,947,54,C14,7,8,41,2020,09
286,2020-09-22 11:00:00,478,11,C14,11,12,41,2020,09
287,2020-09-22 15:00:00,687,10,C14,15,16,41,2020,09
288,2020-09-23 07:00:00,256,9,A18,7,8,41,2020,09
289,2020-09-23 08:00:00,781,17,A18,8,9,41,2020,09
290,2020-09-23 09:00:00,256,5,A18,9,10,41,2020,09
291,2020-09-23 10:00:00,361,38,A18,10,11,41,2020,09
292,2020-09-23 07:00:00,687,1,A17,7,8,41,2020,09
293,2020-09-23 08:00:00,687,39,A17,8,9,41,2020,09
294,2020-09-23 07:00:00,947,3,A15,7,8,41,2020,09
295,2020-09-23 08:00:00,256,2,A15,8,9,41,2020,09
296,2020-09-23 09:00:00,781,15,A15,9,10,41,2020,09
297,2020-09-23 10:00:00,769,41,A15,10,11,41,2020,09
298,2020-09-23 07:00:00,781,10,A14,7,8,41,2020,09
299,2020-09-23 08:00:00,947,11,A14,8,9,41,2020,09
300,2020-09-23 09:00:00,843,42,A14,9,10,41,2020,09
301,2020-09-23 07:00:00,779,45,B17,7,8,41,2020,09
302,2020-09-23 08:00:00,779,1,B17,8,9,41,2020,09
303,2020-09-23 07:00:00,843,48,B14,7,8,41,2020,09
304,2020-09-23 09:00:00,478,11,B14,9,10,41,2020,09
305,2020-09-23 10:00:00,478,10,B14,10,11,41,2020,09
306,2020-09-23 07:00:00,348,8,C16,7,8,41,2020,09
307,2020-09-23 08:00:00,769,19,C16,8,9,41,2020,09
308,2020-09-23 09:00:00,779,52,C16,9,10,41,2020,09
309,2020-09-23 10:00:00,348,18,C16,10,11,41,2020,09
310,2020-09-23 11:00:00,947,4,C16,11,12,41,2020,09
311,2020-09-23 12:00:00,361,14,C16,12,13,41,2020,09
312,2020-09-23 13:00:00,348,16,C16,13,14,41,2020,09
313,2020-09-23 10:00:00,779,3,C15,10,11,41,2020,09
314,2020-09-23 11:00:00,256,15,C15,11,12,41,2020,09
315,2020-09-23 13:00:00,361,2,C15,13,14,41,2020,09
316,2020-09-23 14:00:00,348,53,C15,14,15,41,2020,09
317,2020-09-23 07:00:00,478,54,C14,7,8,41,2020,09
318,2020-09-23 11:00:00,779,11,C14,11,12,41,2020,09
319,2020-09-23 15:00:00,769,10,C14,15,16,41,2020,09
320,2020-09-24 07:00:00,478,9,A18,7,8,41,2020,09
321,2020-09-24 08:00:00,687,17,A18,8,9,41,2020,09
322,2020-09-24 09:00:00,348,5,A18,9,10,41,2020,09
323,2020-09-24 10:00:00,779,38,A18,10,11,41,2020,09
324,2020-09-24 07:00:00,687,1,A17,7,8,41,2020,09
325,2020-09-24 08:00:00,781,39,A17,8,9,41,2020,09
326,2020-09-24 07:00:00,769,3,A15,7,8,41,2020,09
327,2020-09-24 08:00:00,779,2,A15,8,9,41,2020,09
328,2020-09-24 09:00:00,478,15,A15,9,10,41,2020,09
329,2020-09-24 10:00:00,947,41,A15,10,11,41,2020,09
330,2020-09-24 07:00:00,947,10,A14,7,8,41,2020,09
331,2020-09-24 08:00:00,256,11,A14,8,9,41,2020,09
332,2020-09-24 09:00:00,843,42,A14,9,10,41,2020,09
333,2020-09-24 07:00:00,361,45,B17,7,8,41,2020,09
334,2020-09-24 08:00:00,361,1,B17,8,9,41,2020,09
335,2020-09-24 07:00:00,256,48,B14,7,8,41,2020,09
336,2020-09-24 09:00:00,361,11,B14,9,10,41,2020,09
337,2020-09-24 10:00:00,348,10,B14,10,11,41,2020,09
338,2020-09-24 07:00:00,843,8,C16,7,8,41,2020,09
339,2020-09-24 08:00:00,947,19,C16,8,9,41,2020,09
340,2020-09-24 09:00:00,779,52,C16,9,10,41,2020,09
341,2020-09-24 10:00:00,843,18,C16,10,11,41,2020,09
342,2020-09-24 11:00:00,843,4,C16,11,12,41,2020,09
343,2020-09-24 12:00:00,781,14,C16,12,13,41,2020,09
344,2020-09-24 13:00:00,843,16,C16,13,14,41,2020,09
345,2020-09-24 10:00:00,769,3,C15,10,11,41,2020,09
346,2020-09-24 11:00:00,779,15,C15,11,12,41,2020,09
347,2020-09-24 13:00:00,687,2,C15,13,14,41,2020,09
348,2020-09-24 14:00:00,843,53,C15,14,15,41,2020,09
349,2020-09-24 07:00:00,779,54,C14,7,8,41,2020,09
350,2020-09-24 11:00:00,478,11,C14,11,12,41,2020,09
351,2020-09-24 15:00:00,947,10,C14,15,16,41,2020,09
352,2020-09-25 07:00:00,348,9,A18,7,8,41,2020,09
353,2020-09-25 08:00:00,478,17,A18,8,9,41,2020,09
354,2020-09-25 09:00:00,779,5,A18,9,10,41,2020,09
355,2020-09-25 10:00:00,256,38,A18,10,11,41,2020,09
356,2020-09-25 07:00:00,781,1,A17,7,8,41,2020,09
357,2020-09-25 08:00:00,779,39,A17,8,9,41,2020,09
358,2020-09-25 07:00:00,478,3,A15,7,8,41,2020,09
359,2020-09-25 08:00:00,687,2,A15,8,9,41,2020,09
360,2020-09-25 09:00:00,256,15,A15,9,10,41,2020,09
361,2020-09-25 10:00:00,779,41,A15,10,11,41,2020,09
362,2020-09-25 07:00:00,769,10,A14,7,8,41,2020,09
363,2020-09-25 08:00:00,947,11,A14,8,9,41,2020,09
364,2020-09-25 09:00:00,348,42,A14,9,10,41,2020,09
365,2020-09-25 07:00:00,687,45,B17,7,8,41,2020,09
366,2020-09-25 08:00:00,348,1,B17,8,9,41,2020,09
367,2020-09-25 07:00:00,779,48,B14,7,8,41,2020,09
368,2020-09-25 09:00:00,687,11,B14,9,10,41,2020,09
369,2020-09-25 10:00:00,769,10,B14,10,11,41,2020,09
370,2020-09-25 07:00:00,256,8,C16,7,8,41,2020,09
371,2020-09-25 08:00:00,769,19,C16,8,9,41,2020,09
372,2020-09-25 09:00:00,361,52,C16,9,10,41,2020,09
373,2020-09-25 10:00:00,348,18,C16,10,11,41,2020,09
374,2020-09-25 11:00:00,687,4,C16,11,12,41,2020,09
375,2020-09-25 12:00:00,947,14,C16,12,13,41,2020,09
376,2020-09-25 13:00:00,256,16,C16,13,14,41,2020,09
377,2020-09-25 10:00:00,843,3,C15,10,11,41,2020,09
378,2020-09-25 11:00:00,769,15,C15,11,12,41,2020,09
379,2020-09-25 13:00:00,947,2,C15,13,14,41,2020,09
380,2020-09-25 14:00:00,687,53,C15,14,15,41,2020,09
381,2020-09-25 07:00:00,361,54,C14,7,8,41,2020,09
382,2020-09-25 11:00:00,478,11,C14,11,12,41,2020,09
383,2020-09-25 15:00:00,779,10,C14,15,16,41,2020,09
384,2020-09-28 07:00:00,769,9,A18,7,8,41,2020,09
385,2020-09-28 08:00:00,843,17,A18,8,9,41,2020,09
386,2020-09-28 09:00:00,769,5,A18,9,10,41,2020,09
387,2020-09-28 10:00:00,947,38,A18,10,11,41,2020,09
388,2020-09-28 07:00:00,779,1,A17,7,8,41,2020,09
389,2020-09-28 08:00:00,769,39,A17,8,9,41,2020,09
390,2020-09-28 07:00:00,843,3,A15,7,8,41,2020,09
391,2020-09-28 08:00:00,687,2,A15,8,9,41,2020,09
392,2020-09-28 09:00:00,256,15,A15,9,10,41,2020,09
393,2020-09-28 10:00:00,361,41,A15,10,11,41,2020,09
394,2020-09-28 07:00:00,687,10,A14,7,8,41,2020,09
395,2020-09-28 08:00:00,256,11,A14,8,9,41,2020,09
396,2020-09-28 09:00:00,947,42,A14,9,10,41,2020,09
397,2020-09-28 07:00:00,781,45,B17,7,8,41,2020,09
398,2020-09-28 08:00:00,781,1,B17,8,9,41,2020,09
399,2020-09-28 07:00:00,348,48,B14,7,8,41,2020,09
400,2020-09-28 09:00:00,779,11,B14,9,10,41,2020,09
401,2020-09-28 10:00:00,781,10,B14,10,11,41,2020,09
402,2020-09-28 07:00:00,361,8,C16,7,8,41,2020,09
403,2020-09-28 08:00:00,947,19,C16,8,9,41,2020,09
404,2020-09-28 09:00:00,478,52,C16,9,10,41,2020,09
405,2020-09-28 10:00:00,687,18,C16,10,11,41,2020,09
406,2020-09-28 11:00:00,361,4,C16,11,12,41,2020,09
407,2020-09-28 12:00:00,687,14,C16,12,13,41,2020,09
408,2020-09-28 13:00:00,348,16,C16,13,14,41,2020,09
409,2020-09-28 10:00:00,478,3,C15,10,11,41,2020,09
410,2020-09-28 11:00:00,478,15,C15,11,12,41,2020,09
411,2020-09-28 13:00:00,781,2,C15,13,14,41,2020,09
412,2020-09-28 14:00:00,947,53,C15,14,15,41,2020,09
413,2020-09-28 07:00:00,947,54,C14,7,8,41,2020,09
414,2020-09-28 11:00:00,779,11,C14,11,12,41,2020,09
415,2020-09-28 15:00:00,361,10,C14,15,16,41,2020,09
416,2020-09-29 07:00:00,687,9,A18,7,8,41,2020,09
417,2020-09-29 08:00:00,947,17,A18,8,9,41,2020,09
418,2020-09-29 09:00:00,478,5,A18,9,10,41,2020,09
419,2020-09-29 10:00:00,769,38,A18,10,11,41,2020,09
420,2020-09-29 07:00:00,478,1,A17,7,8,41,2020,09
